Provincias;Sector económico;Periodo;Total
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;6,3
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;6,4
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;7,9
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;7,8
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;6,5
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;6,7
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;6,4
05 Ávila;Servicios;2025T4;70,8
05 Ávila;Servicios;2025T3;70,0
05 Ávila;Servicios;2025T2;67,3
05 Ávila;Servicios;2025T1;67,1
05 Ávila;Servicios;2024T4;66,7
05 Ávila;Servicios;2024T3;69,9
05 Ávila;Servicios;2024T2;66,2
05 Ávila;Servicios;2024T1;65,5
05 Ávila;Servicios;2023T4;68,3
05 Ávila;Servicios;2023T3;68,5
05 Ávila;Servicios;2023T2;67,2
05 Ávila;Servicios;2023T1;69,7
05 Ávila;Servicios;2022T4;70,2
05 Ávila;Servicios;2022T3;67,7
05 Ávila;Servicios;2022T2;66,3
05 Ávila;Servicios;2022T1;66,3
05 Ávila;Servicios;2021T4;66,4
05 Ávila;Servicios;2021T3;64,0
05 Ávila;Servicios;2021T2;60,0
05 Ávila;Servicios;2021T1;60,9
05 Ávila;Servicios;2020T4;59,8
05 Ávila;Servicios;2020T3;61,7
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;5,4
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;3,9
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;6,7
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;3,4
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;6,1
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;4,8
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;5,7
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;5,6
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;4,4
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;5,1
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;4,7
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;4,6
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;4,4
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;6,8
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;6,6
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;6,0
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;7,6
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;7,3
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;8,4
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;6,1
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;8,1
05 Ávila;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;7,0
06 Badajoz;Servicios;2025T4;67,0
06 Badajoz;Servicios;2025T3;69,4
06 Badajoz;Servicios;2025T2;69,2
06 Badajoz;Servicios;2025T1;67,6
06 Badajoz;Servicios;2024T4;69,7
06 Badajoz;Servicios;2024T3;67,9
06 Badajoz;Servicios;2024T2;67,9
06 Badajoz;Servicios;2024T1;67,9
06 Badajoz;Servicios;2023T4;68,7
06 Badajoz;Servicios;2023T3;66,1
06 Badajoz;Servicios;2023T2;65,8
06 Badajoz;Servicios;2023T1;66,8
06 Badajoz;Servicios;2022T4;66,3
06 Badajoz;Servicios;2022T3;65,7
06 Badajoz;Servicios;2022T2;65,9
06 Badajoz;Servicios;2022T1;64,2
06 Badajoz;Servicios;2021T4;63,4
06 Badajoz;Servicios;2021T3;64,6
06 Badajoz;Servicios;2021T2;64,3
06 Badajoz;Servicios;2021T1;64,4
06 Badajoz;Servicios;2020T4;63,5
06 Badajoz;Servicios;2020T3;64,5
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;5,9
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;6,1
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;5,7
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;7,1
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;5,4
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;6,5
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;7,8
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;7,8
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;8,0
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;9,5
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;9,9
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;8,7
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;8,8
