Operación	Total Nacional	Comunidades y Ciudades Autónomas	Residencia: Nivel 1	Residencia: Nivel 2	Viajeros y pernoctaciones	Periodo	Total
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2022M11	164.903
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2022M10	247.503
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2022M09	261.142
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2022M08	340.668
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2022M07	281.784
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2022M06	234.944
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2022M05	209.307
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2022M04	244.498
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2022M03	187.773
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2022M02	181.090
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2022M01	154.769
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2021M12	174.120
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2021M11	161.337
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2021M10	242.103
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2021M09	242.405
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2021M08	330.548
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2021M07	249.070
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2021M06	160.846
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2021M05	104.113
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2021M04	73.741
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2021M03	64.245
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2021M02	43.349
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2021M01	37.935
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2020M12	40.108
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2020M11	37.971
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2020M10	111.992
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2020M09	140.076
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2020M08	194.252
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2020M07	147.406
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2020M06	44.159
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2020M05	7.788
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2020M04	0
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2020M03	99.648
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2026M01	74.141
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2025M12	102.224
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2025M11	117.149
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2025M10	169.551
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2025M09	217.906
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2025M08	286.710
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2025M07	255.898
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2025M06	204.806
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2025M05	178.540
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2025M04	159.008
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2025M03	111.479
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2025M02	87.532
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2025M01	77.978
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2024M12	100.710
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2024M11	115.502
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2024M10	173.676
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2024M09	229.744
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2024M08	291.579
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2024M07	255.593
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2024M06	201.070
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2024M05	184.952
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2024M04	145.049
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2024M03	139.515
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2024M02	87.370
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2024M01	79.730
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2023M12	99.718
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2023M11	104.376
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2023M10	179.554
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2023M09	236.526
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2023M08	275.162
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2023M07	256.240
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2023M06	203.011
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2023M05	165.341
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2023M04	172.835
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2023M03	105.354
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2023M02	81.250
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2023M01	68.071
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2022M12	85.895
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2022M11	94.412
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2022M10	161.014
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2022M09	201.227
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2022M08	274.811
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2022M07	242.167
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2022M06	177.752
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2022M05	143.685
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2022M04	138.486
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2022M03	84.443
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2022M02	71.141
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2022M01	55.447
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2021M12	78.371
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2021M11	86.192
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2021M10	160.175
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2021M09	195.792
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2021M08	279.921
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2021M07	226.256
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2021M06	115.496
Encuesta de Ocupación Hotelera	Total Nacional	03 Asturias, Principado de	Total		Viajero	2021M05	57.485
